,HDI Rank,Country,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
92,93,Lebanon,..,,0.483,,0.470,,0.467,,0.454,,0.450,,0.551,,0.566,,0.566,
93,164,Lesotho,0.369,,0.377,,0.383,,0.378,,0.380,,0.377,,0.390,,0.398,,0.398,
94,176,Liberia,0.215,,0.229,,0.222,,0.225,,0.226,,0.237,,0.238,,0.241,,0.241,
95,34,Lithuania,0.818,,0.825,,0.812,,0.805,,0.827,,0.833,,0.839,,0.850,,0.852,
96,21,Luxembourg,0.732,,0.731,,0.730,,0.732,,0.736,,0.742,,0.733,,0.726,,0.738,
97,162,Madagascar,0.335,,0.338,,0.342,,0.344,,0.321,,0.324,,0.321,,0.321,,0.320,
98,172,Malawi,0.279,,0.283,,0.305,,0.314,,0.319,,0.328,,0.326,,0.326,,0.328,
99,61,Malaysia,..,,..,,..,,..,,..,,..,,..,,0.602,,0.627,
100,104,Maldives,0.438,,0.302,,0.309,,0.313,,0.327,,0.335,,0.338,,0.338,,0.399,
101,184,Mali,0.175,,0.179,,0.179,,0.176,,0.166,,0.160,,0.166,,0.156,,0.176,
102,28,Malta,..,,..,,0.735,,0.744,,0.739,,0.762,,0.763,,0.761,,0.763,
103,117,Marshall Islands,..,,..,,..,,..,,..,,..,,..,,..,,0.677,
104,161,Mauritania,0.192,,0.196,,0.208,,0.201,,0.225,,0.228,,0.224,,0.228,,0.230,
105,66,Mauritius,..,,0.589,,0.604,,0.613,,0.632,,0.626,,0.632,,0.631,,0.634,
106,76,Mexico,0.511,,0.498,,0.508,,0.509,,0.526,,0.535,,0.562,,0.562,,0.558,
107,135,Micronesia (Federated States of),0.427,,0.430,,..,,..,,..,,..,,..,,..,,..,
108,107,Moldova (Republic of),0.644,,0.656,,0.666,,0.672,,0.661,,0.657,,0.655,,0.656,,0.656,
109,92,Mongolia,0.680,,0.692,,0.673,,0.704,,0.676,,0.682,,0.644,,0.646,,0.646,
110,52,Montenegro,0.712,,0.768,,0.769,,0.770,,0.733,,0.734,,0.735,,0.738,,0.738,
111,121,Morocco,0.257,,0.251,,0.260,,0.268,,0.277,,0.281,,..,,..,,..,
112,180,Mozambique,0.268,,0.281,,0.282,,0.298,,0.243,,0.247,,0.252,,0.257,,0.257,
113,145,Myanmar,..,,..,,..,,0.344,,0.348,,0.351,,0.322,,0.325,,0.330,
114,130,Namibia,0.388,,0.397,,0.402,,0.405,,0.408,,0.427,,0.428,,0.435,,0.437,
115,147,Nepal,0.251,,0.254,,0.268,,0.271,,0.286,,0.278,,0.281,,0.293,,0.296,
116,10,Netherlands,0.836,,0.861,,0.860,,0.862,,0.865,,0.865,,0.865,,0.858,,0.862,
117,14,New Zealand,..,,..,,..,,..,,..,,..,,0.896,,0.907,,0.863,
118,126,Nicaragua,0.347,,0.350,,0.353,,0.357,,0.390,,0.392,,0.417,,0.420,,0.420,
119,189,Niger,0.123,,0.115,,0.121,,0.126,,0.141,,0.147,,0.152,,0.159,,0.161,
120,158,Nigeria,0.220,,0.236,,0.239,,0.260,,0.267,,0.269,,0.267,,0.301,,0.301,
121,82,North Macedonia,0.546,,0.551,,0.588,,0.602,,0.604,,0.616,,0.622,,0.624,,0.623,
122,1,Norway,0.890,,0.894,,0.887,,0.893,,0.886,,0.890,,0.869,,0.863,,0.879,
123,47,Oman,..,,..,,..,,..,,..,,..,,..,,..,,0.665,
