,HDI Rank,Country,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
28,150,Cameroon,34.0,,33.4,,33.4,,32.8,,32.8,,32.8,,30.7,,34.2,,34.1,
29,13,Canada,8.6,,8.6,,8.6,,7.6,,8.9,,8.9,,8.2,,8.0,,8.8,
30,188,Central African Republic,42.0,,40.6,,40.6,,40.4,,43.5,,43.5,,42.1,,42.1,,41.6,
31,187,Chad,39.3,,40.1,,40.1,,37.8,,39.9,,40.0,,38.3,,38.3,,37.7,
32,42,Chile,19.0,,19.0,,19.0,,19.6,,19.3,,18.2,,16.6,,15.7,,20.5,
33,85,China,23.0,,22.3,,22.3,,..,,..,,..,,..,,14.5,,16.1,
34,79,Colombia,28.6,,32.5,,27.8,,26.7,,24.7,,24.6,,23.4,,23.6,,23.1,
35,156,Comoros,43.9,,..,,..,,..,,46.7,,45.8,,45.3,,45.3,,45.3,
36,138,Congo,31.8,,31.1,,31.1,,30.7,,26.6,,24.7,,22.6,,22.6,,25.0,
37,179,Congo (Democratic Republic of the),36.2,,39.9,,39.9,,37.6,,36.2,,31.9,,30.8,,30.3,,31.0,
38,68,Costa Rica,20.6,,20.5,,21.6,,19.9,,19.9,,19.1,,18.7,,18.0,,19.5,
39,46,Croatia,15.3,,15.1,,15.1,,11.2,,9.1,,9.1,,9.1,,9.0,,8.3,
40,31,Cyprus,11.7,,10.1,,11.5,,11.0,,10.7,,10.9,,13.4,,11.5,,9.7,
41,26,Czechia,6.0,,5.0,,5.4,,5.6,,5.5,,5.4,,5.5,,5.3,,4.6,
42,165,Côte d'Ivoire,36.1,,38.6,,38.6,,38.3,,38.0,,37.8,,36.0,,36.9,,35.7,
43,11,Denmark,6.4,,6.0,,6.2,,6.9,,7.3,,7.2,,7.8,,7.5,,6.1,
44,171,Djibouti,37.3,,35.9,,36.0,,34.6,,34.6,,34.6,,34.0,,35.8,,..,
45,89,Dominican Republic,24.8,,25.9,,27.3,,23.6,,23.6,,21.8,,22.2,,21.1,,21.5,
46,85,Ecuador,20.2,,25.7,,25.7,,22.8,,22.1,,20.5,,20.5,,19.8,,19.9,
47,116,Egypt,27.5,,24.1,,24.1,,24.0,,24.0,,29.0,,29.2,,29.2,,29.7,
48,124,El Salvador,27.6,,26.6,,26.6,,26.7,,26.7,,22.2,,22.7,,22.3,,21.9,
49,30,Estonia,9.8,,7.9,,9.0,,8.7,,9.1,,8.9,,9.8,,8.8,,7.3,
50,138,Eswatini (Kingdom of),35.7,,35.4,,35.4,,33.3,,33.3,,33.3,,29.7,,29.7,,29.3,
51,173,Ethiopia,34.3,,31.9,,31.9,,29.4,,29.4,,26.3,,24.5,,28.4,,28.4,
52,98,Fiji,..,,..,,..,,15.3,,15.3,,15.3,,..,,..,,..,
53,12,Finland,7.5,,5.6,,5.9,,5.5,,5.5,,5.8,,8.8,,5.6,,5.3,
54,26,France,9.2,,9.2,,9.0,,9.0,,8.7,,9.4,,12.6,,10.3,,9.2,
55,115,Gabon,21.1,,19.5,,19.5,,24.0,,24.0,,23.9,,22.3,,22.3,,22.5,
56,174,Gambia,39.0,,..,,..,,..,,..,,..,,37.1,,37.1,,37.2,
57,70,Georgia,17.0,,14.1,,15.3,,14.5,,13.6,,12.7,,12.0,,12.6,,12.0,
58,4,Germany,8.0,,6.9,,6.9,,7.1,,6.9,,7.2,,8.6,,8.1,,8.3,
59,142,Ghana,25.3,,32.2,,32.2,,31.3,,33.1,,32.5,,28.9,,28.9,,28.3,
60,32,Greece,10.2,,12.2,,11.6,,10.6,,12.3,,12.4,,13.2,,13.5,,12.2,
61,126,Guatemala,33.6,,31.6,,33.1,,32.8,,29.4,,29.6,,28.9,,28.2,,27.4,
62,174,Guinea,38.4,,38.8,,38.8,,38.0,,36.5,,34.8,,33.4,,33.4,,33.4,
63,178,Guinea-Bissau,42.4,,41.4,,41.4,,39.6,,39.6,,39.4,,39.4,,39.4,,37.5,
64,123,Guyana,18.6,,22.3,,19.1,,18.2,,18.2,,18.7,,18.7,,18.6,,18.5,
65,169,Haiti,40.8,,40.2,,40.2,,39.5,,38.8,,39.6,,39.0,,39.0,,40.5,
66,132,Honduras,30.6,,31.7,,27.5,,32.3,,32.0,,29.2,,26.2,,25.6,,25.5,
67,4,"Hong Kong, China (SAR)",..,,..,,..,,..,,..,,..,,..,,13.3,,13.1,
68,43,Hungary,8.6,,7.0,,7.4,,7.4,,7.2,,7.8,,7.9,,7.9,,8.0,
69,6,Iceland,6.6,,5.9,,6.4,,5.7,,5.9,,5.8,,6.1,,6.1,,5.7,
70,129,India,29.7,,28.3,,29.3,,28.6,,28.6,,27.2,,27.8,,26.9,,16.9,
71,111,Indonesia,17.7,,18.3,,18.3,,19.2,,18.2,,18.2,,17.7,,18.9,,17.5,
72,65,Iran (Islamic Republic of),..,,..,,..,,33.6,,33.6,,33.1,,..,,11.4,,11.5,
73,120,Iraq,..,,..,,..,,21.4,,21.7,,22.3,,21.3,,20.4,,19.8,
74,3,Ireland,9.2,,7.2,,7.2,,7.5,,8.6,,7.9,,9.0,,9.0,,7.5,
75,22,Israel,12.5,,12.3,,12.3,,10.7,,13.4,,13.5,,13.3,,12.9,,10.8,
76,29,Italy,12.0,,10.9,,11.9,,11.9,,11.5,,11.5,,12.7,,12.3,,12.1,
77,96,Jamaica,16.6,,16.2,,19.1,,19.0,,17.5,,16.5,,17.0,,17.0,,16.7,
78,19,Japan,..,,..,,..,,12.4,,12.4,,12.4,,12.3,,..,,3.6,
79,102,Jordan,19.2,,19.0,,19.0,,18.6,,16.5,,16.5,,16.1,,16.1,,14.7,
80,50,Kazakhstan,13.5,,11.9,,13.6,,11.9,,11.9,,10.1,,7.9,,7.9,,7.1,
81,147,Kenya,31.8,,33.6,,33.6,,32.8,,31.3,,29.5,,26.4,,26.4,,26.3,
82,132,Kiribati,..,,..,,..,,31.5,,31.5,,33.1,,32.6,,..,,..,
83,22,Korea (Republic of),16.7,,16.5,,16.5,,17.4,,16.4,,16.3,,14.3,,14.3,,14.2,
84,122,Kyrgyzstan,15.1,,14.5,,17.1,,17.2,,14.5,,12.3,,9.8,,9.8,,9.5,
85,140,Lao People's Democratic Republic,24.8,,22.8,,24.7,,24.5,,25.6,,27.1,,26.1,,26.1,,24.9,
86,39,Latvia,11.1,,11.0,,10.9,,10.6,,10.8,,10.6,,10.4,,10.4,,9.1,
87,93,Lebanon,..,,22.8,,22.8,,20.9,,20.9,,21.0,,..,,..,,..,
88,164,Lesotho,34.0,,35.9,,35.9,,35.6,,35.6,,35.6,,31.0,,31.0,,32.5,
89,176,Liberia,37.3,,35.3,,35.3,,33.8,,34.8,,33.4,,31.6,,31.6,,32.3,
90,34,Lithuania,11.5,,9.8,,11.0,,10.6,,10.2,,10.5,,10.6,,11.7,,10.9,
91,21,Luxembourg,9.0,,7.8,,7.2,,7.6,,7.8,,8.0,,9.9,,10.4,,9.5,
92,162,Madagascar,29.2,,30.7,,30.7,,30.5,,27.0,,27.0,,25.9,,25.9,,25.8,
93,172,Malawi,32.1,,31.9,,31.4,,31.9,,32.9,,31.2,,30.4,,30.4,,28.7,
94,104,Maldives,15.6,,25.2,,25.2,,25.4,,24.9,,24.6,,24.3,,23.4,,21.0,
95,184,Mali,38.3,,..,,..,,..,,35.6,,33.7,,32.3,,34.0,,31.2,
96,28,Malta,..,,..,,8.2,,8.3,,8.5,,8.1,,8.2,,8.3,,8.0,
97,161,Mauritania,35.2,,34.2,,34.5,,35.3,,33.4,,32.4,,33.0,,33.0,,32.1,
98,66,Mauritius,..,,13.3,,13.3,,14.2,,14.2,,14.4,,14.1,,13.5,,13.6,
99,76,Mexico,21.0,,23.5,,23.5,,22.9,,22.4,,22.9,,21.8,,21.2,,22.5,
100,135,Micronesia (Federated States of),38.9,,38.6,,..,,..,,..,,..,,..,,..,,..,
101,107,Moldova (Republic of),13.5,,12.2,,11.5,,12.2,,10.8,,10.1,,10.3,,10.3,,10.4,
102,92,Mongolia,15.2,,13.8,,15.9,,11.5,,12.8,,13.0,,13.7,,13.7,,13.6,
103,52,Montenegro,9.9,,6.9,,7.4,,7.2,,9.2,,8.8,,8.5,,8.9,,8.6,
104,121,Morocco,28.1,,29.7,,29.7,,29.7,,29.7,,29.5,,..,,..,,..,
105,180,Mozambique,45.3,,28.9,,32.7,,29.5,,34.3,,33.0,,32.7,,32.7,,30.7,
106,145,Myanmar,..,,..,,..,,..,,..,,..,,..,,19.4,,23.2,
107,130,Namibia,44.3,,43.5,,43.5,,43.6,,43.6,,35.2,,34.8,,34.8,,35.3,
108,147,Nepal,31.9,,34.3,,34.3,,28.8,,26.8,,27.1,,26.2,,25.6,,25.8,
109,10,Netherlands,8.1,,7.0,,6.9,,6.7,,6.6,,6.9,,7.4,,7.9,,6.8,
110,14,New Zealand,..,,..,,..,,..,,..,,..,,..,,7.7,,9.2,
111,126,Nicaragua,24.6,,27.5,,27.5,,26.4,,24.0,,25.8,,24.0,,22.9,,23.0,
112,189,Niger,33.9,,34.2,,34.2,,32.4,,29.3,,28.3,,28.1,,29.3,,27.8,
113,158,Nigeria,41.7,,39.3,,41.4,,40.3,,37.8,,37.8,,36.9,,34.7,,34.6,
114,82,North Macedonia,16.7,,16.4,,14.7,,13.6,,16.7,,16.7,,16.4,,12.6,,13.1,
115,1,Norway,6.6,,5.6,,6.4,,5.6,,5.4,,5.4,,7.6,,8.0,,6.8,
116,47,Oman,..,,..,,..,,..,,..,,..,,..,,..,,12.2,
117,152,Pakistan,31.5,,31.4,,30.9,,30.1,,29.9,,30.9,,30.3,,31.0,,31.1,
118,119,"Palestine, State of",..,,..,,..,,11.7,,14.9,,15.1,,14.7,,15.0,,13.5,
119,67,Panama,28.3,,24.6,,24.6,,22.1,,22.5,,22.0,,20.8,,21.1,,21.2,
120,98,Paraguay,24.6,,24.0,,..,,24.1,,22.1,,24.3,,22.4,,25.5,,22.5,
121,82,Peru,30.6,,23.2,,24.3,,23.7,,23.4,,21.6,,20.0,,19.2,,19.4,
122,106,Philippines,18.9,,19.9,,19.9,,18.1,,18.1,,18.5,,17.9,,17.9,,18.2,
123,32,Poland,10.8,,9.7,,9.9,,9.9,,9.8,,9.5,,9.4,,9.0,,8.1,
124,40,Portugal,11.9,,10.2,,10.7,,10.1,,10.3,,10.4,,13.9,,13.5,,12.7,
125,52,Romania,12.1,,12.6,,12.6,,10.5,,10.4,,11.1,,11.7,,11.6,,11.1,
126,49,Russian Federation,11.5,,11.3,,..,,12.0,,10.5,,9.8,,9.5,,9.5,,9.9,
127,157,Rwanda,37.0,,35.7,,33.9,,33.2,,31.6,,31.9,,30.0,,30.0,,28.7,
128,89,Saint Lucia,..,,..,,..,,..,,15.9,,16.0,,15.7,,16.7,,17.2,
129,137,Sao Tome and Principe,..,,31.5,,31.8,,31.2,,24.7,,24.7,,19.8,,19.8,,16.8,
130,166,Senegal,36.2,,33.8,,33.0,,32.9,,34.4,,33.1,,31.9,,32.7,,32.5,
131,63,Serbia,10.8,,9.5,,9.5,,10.9,,10.1,,11.2,,14.9,,15.3,,11.1,
132,181,Sierra Leone,39.3,,41.7,,41.7,,44.3,,41.6,,37.8,,36.5,,36.5,,35.7,
133,9,Singapore,..,,..,,..,,..,,..,,..,,..,,12.5,,13.3,
134,36,Slovakia,6.7,,5.7,,6.3,,6.3,,6.2,,6.1,,6.9,,6.8,,6.2,
135,24,Slovenia,6.9,,5.3,,5.8,,5.8,,5.9,,5.9,,5.6,,5.6,,4.8,
136,153,Solomon Islands,..,,..,,..,,23.8,,23.8,,23.8,,..,,..,,..,
137,113,South Africa,31.1,,..,,..,,..,,35.7,,34.7,,33.2,,33.2,,34.4,
138,186,South Sudan,..,,..,,..,,..,,..,,..,,..,,36.4,,36.1,
139,25,Spain,9.8,,8.9,,10.1,,10.9,,11.5,,10.5,,15.6,,15.4,,14.3,
140,71,Sri Lanka,17.1,,16.2,,15.1,,14.3,,11.6,,11.6,,11.3,,13.8,,12.1,
141,168,Sudan,..,,..,,..,,..,,..,,..,,36.2,,34.8,,34.6,
142,98,Suriname,24.3,,23.8,,23.0,,24.2,,24.0,,24.0,,22.5,,22.6,,22.7,
143,8,Sweden,6.9,,5.9,,6.2,,6.5,,6.7,,6.7,,7.1,,7.4,,6.7,
144,2,Switzerland,7.1,,7.0,,7.0,,7.7,,7.4,,8.6,,7.8,,7.8,,6.8,
145,154,Syrian Arab Republic,20.8,,20.4,,20.4,,21.2,,21.2,,21.8,,21.3,,..,,..,
146,125,Tajikistan,19.1,,17.6,,18.4,,19.2,,17.5,,15.2,,14.0,,13.5,,12.5,
147,159,Tanzania (United Republic of),28.4,,28.8,,27.4,,27.1,,27.3,,25.4,,24.9,,24.8,,24.9,
148,77,Thailand,21.2,,21.3,,21.3,,20.7,,20.7,,20.8,,16.8,,15.7,,17.0,
149,131,Timor-Leste,33.4,,32.9,,33.0,,30.7,,30.7,,31.2,,30.1,,27.7,,28.0,
150,167,Togo,32.9,,33.5,,33.5,,32.9,,33.4,,31.9,,31.2,,31.7,,31.7,
151,63,Trinidad and Tobago,15.5,,15.3,,15.3,,15.2,,15.2,,15.3,,14.9,,..,,..,
152,91,Tunisia,25.2,,25.2,,..,,..,,22.0,,22.5,,22.0,,22.1,,20.9,
153,59,Turkey,23.6,,22.5,,22.5,,15.8,,15.8,,15.9,,15.4,,15.4,,16.2,
154,108,Turkmenistan,26.4,,..,,..,,..,,..,,..,,18.5,,18.5,,18.5,
155,159,Uganda,32.1,,33.6,,33.6,,30.8,,30.2,,30.9,,29.8,,28.3,,26.7,
156,88,Ukraine,8.1,,9.2,,9.2,,9.2,,7.8,,7.2,,6.8,,6.6,,6.5,
157,15,United Kingdom,9.7,,8.3,,8.3,,8.9,,8.6,,8.0,,10.5,,9.4,,8.2,
158,15,United States,11.4,,15.3,,12.4,,17.4,,17.0,,13.5,,13.3,,13.8,,13.4,
159,57,Uruguay,16.1,,16.4,,16.4,,16.1,,14.5,,15.7,,14.7,,14.3,,13.0,
160,108,Uzbekistan,15.7,,15.1,,15.8,,15.8,,15.8,,15.8,,13.2,,..,,..,
161,141,Vanuatu,..,,..,,..,,..,,17.1,,17.2,,16.7,,17.1,,..,
162,96,Venezuela (Bolivarian Republic of),21.2,,26.6,,26.6,,19.7,,19.7,,19.4,,18.2,,16.5,,17.3,
163,118,Viet Nam,16.4,,14.0,,14.0,,14.9,,17.5,,17.8,,17.3,,17.3,,16.3,
164,177,Yemen,34.2,,32.3,,32.3,,32.8,,34.0,,33.7,,31.5,,31.8,,31.8,
165,143,Zambia,31.5,,29.5,,36.7,,35.0,,34.4,,35.6,,34.1,,34.1,,33.4,
166,150,Zimbabwe,29.9,,28.7,,28.5,,27.2,,27.1,,28.6,,23.6,,23.6,,22.8,
167,36,Andorra,..,,..,,..,,..,,..,,..,,..,,..,,..,
168,35,United Arab Emirates,..,,..,,..,,..,,..,,..,,..,,..,,..,
169,74,Antigua and Barbuda,..,,..,,..,,..,,..,,..,,..,,..,,..,
170,45,Bahrain,..,,..,,..,,..,,..,,..,,..,,..,,..,
171,43,Brunei Darussalam,..,,..,,..,,..,,..,,..,,..,,..,,..,
172,72,Cuba,..,,..,,..,,..,,..,,..,,..,,..,,..,
173,98,Dominica,..,,..,,..,,..,,..,,..,,..,,..,,..,
174,182,Eritrea,..,,..,,..,,..,,..,,..,,..,,..,,..,
175,144,Equatorial Guinea,..,,..,,..,,..,,..,,..,,..,,..,,..,
176,78,Grenada,..,,..,,..,,..,,..,,..,,..,,..,,..,
177,73,Saint Kitts and Nevis,..,,..,,..,,..,,..,,..,,..,,..,,..,
178,57,Kuwait,..,,..,,..,,..,,..,,..,,..,,..,,..,
179,110,Libya,..,,..,,..,,..,,..,,..,,..,,..,,..,
180,18,Liechtenstein,..,,..,,..,,..,,..,,..,,..,,..,,..,
181,117,Marshall Islands,..,,..,,..,,..,,..,,..,,..,,..,,..,
182,61,Malaysia,..,,..,,..,,..,,..,,..,,..,,..,,..,
183,55,Palau,..,,..,,..,,..,,..,,..,,..,,..,,..,
184,155,Papua New Guinea,..,,..,,..,,..,,..,,..,,..,,..,,..,
185,41,Qatar,..,,..,,..,,..,,..,,..,,..,,..,,..,
186,36,Saudi Arabia,..,,..,,..,,..,,..,,..,,..,,..,,..,
187,62,Seychelles,..,,..,,..,,..,,..,,..,,..,,..,,..,
188,105,Tonga,..,,..,,..,,..,,..,,..,,..,,..,,..,
189,94,Saint Vincent and the Grenadines,..,,..,,..,,..,,..,,..,,..,,..,,..,
190,111,Samoa,..,,..,,..,,..,,..,,..,,..,,..,,..,
191,,Human Development,,,..,,..,,..,,..,,..,,..,,..,,..,
192,,Very high human development,11.8,,12.1,,11.5,,12.4,,12.1,,11.3,,11.8,,11.1,,10.8,
193,,High human development,22.4,,22.1,,22.0,,21.3,,21.0,,20.8,,19.9,,17.1,,17.9,
194,,Medium human development,29.1,,28.1,,28.7,,28.0,,27.9,,27.1,,27.0,,26.1,,20.0,
195,,Low human development,36.0,,34.9,,35.4,,33.8,,33.2,,32.2,,31.2,,31.3,,31.1,
196,,Developing Countries,26.2,,25.5,,25.8,,25.9,,25.8,,25.2,,24.7,,22.0,,20.3,
197,,Regions,,,..,,..,,..,,..,,..,,..,,..,,..,
198,,Arab States,27.4,,26.2,,25.4,,24.9,,25.4,,27.5,,26.0,,25.1,,24.5,
199,,East Asia and the Pacific,21.9,,21.3,,21.3,,19.7,,19.4,,19.2,,18.9,,15.6,,16.6,
200,,Europe and Central Asia,16.1,,15.2,,15.5,,13.3,,13.0,,12.7,,11.9,,11.7,,11.5,
201,,Latin America and the Caribbean,25.3,,26.1,,25.7,,24.5,,23.7,,23.4,,22.3,,21.8,,22.4,
202,,South Asia,29.6,,28.4,,29.1,,28.7,,28.7,,27.7,,28.0,,26.2,,19.0,
203,,Sub-Saharan Africa,35.1,,34.5,,35.0,,33.7,,33.3,,32.2,,30.7,,30.8,,30.5,
204,,Least Developed Countries,33.4,,32.5,,32.5,,31.1,,31.0,,30.0,,29.0,,28.5,,28.6,
205,,Small Island Developing States,28.9,,27.9,,28.7,,24.7,,24.7,,24.5,,24.2,,23.5,,24.0,
206,,Organization for Economic Co-operation and Development,12.3,,13.1,,12.5,,13.4,,13.2,,12.5,,12.9,,12.0,,11.7,
207,,World,23.4,,23.0,,23.3,,23.0,,22.9,,22.3,,22.0,,20.1,,18.6,
208,,,,,,,,,,,,,,,,,,,,
