,HDI Rank,Country,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
193,,Human Development,,,..,,..,,..,,..,,..,,..,,..,,..,
194,,Very high human development,6.9,,6.5,,6.5,,5.9,,5.9,,5.9,,5.2,,5.2,,5.2,
195,,High human development,16.0,,14.2,,14.2,,12.1,,12.1,,11.8,,10.3,,10.3,,10.0,
196,,Medium human development,30.6,,26.7,,26.7,,24.9,,24.9,,24.5,,21.7,,21.8,,20.5,
197,,Low human development,44.1,,39.1,,39.1,,36.7,,36.7,,34.8,,31.3,,31.3,,30.4,
198,,Developing Countries,24.7,,21.8,,21.8,,19.9,,20.0,,19.5,,17.3,,17.4,,16.6,
199,,Regions,,,..,,..,,..,,..,,..,,..,,..,,..,
200,,Arab States,20.1,,17.6,,16.6,,17.4,,17.4,,18.0,,15.7,,15.7,,15.0,
201,,East Asia and the Pacific,16.1,,14.3,,14.2,,11.6,,11.6,,11.2,,10.0,,10.0,,9.8,
202,,Europe and Central Asia,16.8,,14.8,,14.9,,14.3,,14.3,,13.3,,10.9,,10.9,,9.7,
203,,Latin America and the Caribbean,15.2,,13.4,,13.4,,13.3,,13.3,,14.0,,12.1,,12.1,,11.6,
204,,South Asia,30.5,,26.9,,26.9,,24.5,,24.5,,24.0,,21.4,,21.5,,20.2,
205,,Sub-Saharan Africa,43.9,,39.0,,39.0,,36.8,,36.8,,35.0,,30.8,,30.8,,29.7,
206,,Least Developed Countries,39.3,,34.8,,34.7,,32.6,,32.6,,30.7,,27.1,,27.2,,26.3,
207,,Small Island Developing States,22.5,,17.4,,17.5,,16.9,,16.9,,17.4,,16.1,,16.1,,16.6,
208,,Organization for Economic Co-operation and Development,6.4,,6.0,,6.0,,5.6,,5.6,,5.8,,5.2,,5.2,,5.3,
209,,World,21.3,,19.0,,19.0,,17.4,,17.5,,17.1,,15.2,,15.2,,14.7,
210,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,
