,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
102,Malaysia,593.4,624.8,659.0,689.9,731.4,768.6,801.1,848.3,888.4
103,Maldives,4.4,4.8,4.9,5.2,5.6,5.8,6.2,6.6,7.0
104,Mali,28.2,29.1,28.9,29.6,31.6,33.5,35.5,37.4,39.2
105,Malta,11.7,11.9,12.2,12.8,13.9,15.3,16.2,17.3,18.4
106,Marshall Islands,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
107,Mauritania,12.0,12.5,13.3,14.1,14.9,15.1,15.4,15.8,16.4
108,Mauritius,19.9,20.7,21.5,22.2,23.0,23.8,24.8,25.7,26.7
109,Mexico,1843.8,1911.3,1980.9,2007.8,2064.1,2131.9,2194.2,2239.6,2284.3
110,Micronesia (Federated States of),0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4
111,Moldova (Republic of),16.9,17.8,17.7,19.3,20.3,20.2,21.1,22.1,23.0
112,Mongolia,20.9,24.5,27.5,30.8,33.2,34.0,34.4,36.2,38.7
113,Montenegro,8.7,9.0,8.7,9.0,9.2,9.5,9.8,10.3,10.8
114,Morocco,211.9,223.0,229.7,240.2,246.6,257.8,260.7,271.3,279.3
115,Mozambique,22.2,23.8,25.5,27.3,29.4,31.3,32.5,33.7,34.8
116,Myanmar,186.6,197.1,211.5,229.4,247.7,265.0,280.5,299.5,318.1
117,Namibia,18.4,19.3,20.3,21.4,22.8,24.2,24.5,24.3,24.2
118,Nauru,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
119,Nepal,53.7,55.5,58.2,60.6,64.2,66.3,66.7,72.0,76.5
120,Netherlands,766.0,777.9,769.9,768.9,779.8,795.1,812.5,835.8,858.2
121,New Zealand,140.2,143.5,146.7,150.5,156.1,161.7,167.6,172.8,177.6
122,Nicaragua,23.1,24.6,26.2,27.5,28.8,30.2,31.5,33.0,31.7
123,Niger,13.4,13.7,15.3,16.1,17.3,18.1,19.0,19.9,20.9
124,Nigeria,806.1,848.8,884.7,943.8,1003.3,1029.9,1013.3,1021.4,1041.2
125,North Macedonia,23.5,24.1,24.0,24.7,25.6,26.5,27.3,27.4,28.1
126,Norway,304.8,307.8,316.2,319.5,325.8,332.2,336.2,342.8,347.8
127,Oman,137.9,136.4,149.1,155.6,159.9,167.5,175.8,174.2,177.9
128,Pakistan,730.6,750.7,777.0,811.2,849.1,889.3,938.4,991.9,1045.8
129,Palau,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
130,"Palestine, State of",15.2,17.1,18.2,18.6,18.6,19.2,20.1,20.7,20.9
131,Panama,56.9,63.4,69.6,74.4,78.2,82.6,86.7,91.3,94.7
132,Papua New Guinea,22.7,22.9,24.0,24.9,28.3,31.0,32.2,32.7,32.9
133,Paraguay,60.9,63.4,63.1,68.4,71.7,74.0,77.1,81.0,83.9
134,Peru,292.5,311.0,330.1,349.4,357.7,369.3,384.0,393.6,409.3
135,Philippines,524.6,543.8,580.1,621.1,659.3,699.3,747.4,797.3,847.1
136,Poland,828.2,869.8,883.8,896.1,925.8,961.3,990.8,1038.5,1091.9
137,Portugal,288.0,282.7,271.3,268.3,270.7,275.6,280.9,288.8,295.0
138,Qatar,222.7,252.5,264.3,276.0,287.0,297.5,303.8,308.6,313.0
