,Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018
84,"Gambia, The",2434.891249,2215.751109,2199.7881429999998,2121.4863920000003,2027.0313489999999,2066.859359,2068.742988,2072.65245,2194.822159
85,Guinea-Bissau,1338.984566,1439.2898810000002,1355.3152519999999,1364.3852650000001,1378.232654,1597.2088509999999,1746.7498059999998,1925.2377370000002,1995.1721559999999
86,Equatorial Guinea,32965.89959,34280.25489,37570.6354,34766.01158,33696.126410000004,24042.49709,20458.81227,22551.08325,20840.27477
87,Greece,28169.490019999997,26141.31959,25284.46408,26097.8719,26838.45523,26902.525319999997,27823.361839999998,29089.014010000003,30354.349
88,Grenada,10862.86744,11115.70696,11164.43872,11887.57767,13041.81611,14152.41757,15025.82166,16217.49985,17197.658069999998
89,Greenland,,,,,,,,,
90,Guatemala,6728.246726,7025.674554000001,7320.153417,7446.587990999999,7758.493152,8194.440681,8221.746427,8317.364117000001,8647.821544
91,Guam,,,,,,,,,
92,Guyana,6512.324954,6969.7085019999995,7380.61593,7901.951451999999,8165.721012999999,8365.612084,8830.397993,8989.038273999999,9531.884623
93,High income,39052.58188,40671.70461,41804.694169999995,43170.38622,44319.63165,45093.903269999995,46371.74953,48341.6938,50195.06277
94,"Hong Kong SAR, China",49185.23074,52277.46644,52234.592319999996,53691.837479999995,54781.64716,56408.936270000006,57221.41376,59849.248179999995,62513.0323
95,Honduras,3778.460561,3928.268075,4032.581323,4142.239868,4452.583019,4823.389044,5147.244578,5561.996311999999,5806.101014
96,Heavily indebted poor countries (HIPC),1846.218368,1933.2490309999998,1970.730222,2101.673875,2231.977866,2333.767766,2378.586907,2461.567393,2557.307277
97,Croatia,19776.1961,20743.52773,21136.47821,21769.18988,22062.07295,23013.49805,24718.129680000002,26595.73884,28038.685410000002
98,Haiti,1527.768855,1621.230334,1590.0168529999999,1680.9640980000001,1718.933916,1704.9305809999998,1757.385146,1763.663261,1808.8760320000001
99,Hungary,21586.03614,22894.34764,23148.12788,24498.17916,25604.98821,26668.04088,27699.63094,29529.309230000003,31578.7598
100,IBRD only,9270.631619,9983.316284,10598.947479999999,11095.96363,11425.40288,11515.87766,11920.47939,12544.85315,13366.333279999999
101,IDA & IBRD total,7742.3567920000005,8299.768891,8771.663581,9171.076901,9442.920135,9517.060585,9815.454634,10293.46175,10928.09689
102,IDA total,2820.668489,2944.574041,3028.486958,3197.754156,3373.906614,3482.805263,3540.766737,3669.3284240000003,3851.577803
103,IDA blend,4001.2503079999997,4168.395869,4235.205777,4403.486463,4612.694861,4679.975745000001,4673.340198,4779.915743,4979.694775999999
104,Indonesia,8505.748534999999,9095.733633,9713.873158,10067.42225,10278.13992,10247.20638,10494.56047,10935.84175,11639.86506
105,IDA only,2214.57294,2314.920816,2408.2812329999997,2579.3399879999997,2739.2984030000002,2873.8778629999997,2969.948237,3113.963425,3290.302852
106,Isle of Man,,,,,,,,,
107,India,4236.744324,4493.667896,4861.146371,5057.217581,5233.868543,5464.859141,5839.898589,6185.993893,6650.1121490000005
108,Not classified,,,,,,,,,
109,Ireland,43327.40242,44855.3247,46256.56888,47897.29166,51067.97671,69056.04604,71921.71705,78128.18157999999,84459.65164
110,"Iran, Islamic Rep.",17388.89561,18008.802519999997,15950.10453,15273.846309999999,15235.70484,13588.4676,14011.54513,14535.86306,
111,Iraq,12717.01756,13515.548130000001,15163.35062,15535.35112,14267.035609999999,10391.77771,9897.001441,10971.97001,10911.63791
112,Iceland,39606.59579,40767.235510000006,41926.34162,44157.55212,45714.79266,48854.34544,53025.439510000004,55562.426620000006,57742.150279999994
113,Israel,28824.193989999996,30539.963369999998,31693.917869999997,34145.7126,34212.944489999994,35436.81087,37843.977810000004,38966.66269,40261.33803
114,Italy,35181.96842,36598.01497,36486.29679,36314.6971,36194.87392,36909.328369999996,39922.90848,41784.624710000004,42816.20297
