,Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018
90,Guatemala,71.48100000000001,71.861,72.236,72.596,72.935,73.25,73.541,73.81,74.063
91,Guam,77.941,78.173,78.408,78.649,78.895,79.14399999999999,79.391,79.631,79.859
92,Guyana,68.059,68.321,68.575,68.819,69.04899999999999,69.262,69.454,69.624,69.774
93,High income,79.70019394,79.95471756,80.07343349,80.26023268,80.51254524,80.39198686,80.54085140000001,80.58546545,80.65610468
94,"Hong Kong SAR, China",82.97804878,83.42195122,83.4804878,83.83170732,83.9804878,84.27804878,84.22682927,84.68048780000001,84.93414634
95,Honduras,73.317,73.569,73.814,74.051,74.278,74.495,74.70100000000001,74.898,75.08800000000001
96,Heavily indebted poor countries (HIPC),58.85894741,59.52887102,60.16656463,60.770334,61.33431282,61.85295324,62.32328929999999,62.7486826,63.1350064
97,Croatia,76.47560976,76.77560976,76.92439024,77.12682927,77.47804878,77.27560976,78.02195122,77.82682927,78.07073171
98,Haiti,60.511,60.879,61.26,61.658,62.068999999999996,62.485,62.896,63.29,63.66
99,Hungary,74.20731707,74.85853659,75.06341463,75.56585366,75.76341463,75.56829268,76.06341463,75.81707317,76.06585366
100,IBRD only,71.16097061,71.51049744,71.8275975,72.14156628,72.42796452,72.69630874,72.95468120000001,73.20007252,73.40486714
101,IDA & IBRD total,68.76762941,69.1275455,69.4581623,69.78180102,70.07912594,70.35625416,70.61863933,70.86400662,71.07172639
102,IDA total,61.00670312,61.49968172,61.96761613,62.41373162,62.83652616,63.23250648,63.59897511,63.93647608,64.24780047
103,IDA blend,59.20835402,59.66462766,60.09327035,60.50420209,60.89371327,61.25627918,61.58792571,61.88904078,62.16175014
104,Indonesia,69.205,69.542,69.866,70.179,70.48100000000001,70.768,71.035,71.282,71.509
105,IDA only,61.90857468,62.42199943,62.91116673,63.376542500000006,63.81759283,64.2316667,64.61661504,64.97303361,65.30409152
106,Isle of Man,,,,,,,,,
107,India,66.693,67.13,67.545,67.931,68.286,68.607,68.89699999999999,69.165,69.416
108,Not classified,,,,,,,,,
109,Ireland,80.74390244,80.74634146,80.84634146,80.94878049,81.34878049,81.45365854,81.65365854,82.15609756,82.25609756
110,"Iran, Islamic Rep.",73.905,74.352,74.77600000000001,75.16199999999999,75.502,75.796,76.047,76.271,76.479
111,Iraq,68.567,68.848,69.148,69.437,69.7,69.929,70.122,70.294,70.454
112,Iceland,81.89756098,82.35853659,82.91707317,82.06097561,82.86097561,82.46829268,82.20487805,82.66097561,82.86097561
113,Israel,81.60243902,81.65609756,81.70487805,82.05609756,82.15365854,82.05121951,82.40731707,82.55121951,82.80243902
114,Italy,82.03658537,82.18780488,82.23902439,82.6902439,83.0902439,82.54390244,83.24390244,82.94634146,83.34634146
115,Jamaica,74.038,74.012,74.001,74.01,74.042,74.098,74.175,74.267,74.368
116,Jordan,73.428,73.581,73.722,73.851,73.969,74.078,74.184,74.292,74.405
117,Japan,82.84268293,82.59121951,83.09609756,83.33195122,83.58780488,83.79390244,83.98487805,84.0997561,84.21097561
118,Kazakhstan,68.29536585,68.98,69.61,70.45,71.62,72.0,72.3,72.95,73.15
119,Kenya,60.958999999999996,61.851000000000006,62.659,63.419,64.135,64.798,65.393,65.90899999999999,66.342
