Entity,Code,Year, ((0-1; higher values are better))
Spain,ESP,2016,0.889
Sri Lanka,LKA,2016,0.768
Sudan,SDN,2016,0.499
Suriname,SUR,2016,0.7190000000000001
Swaziland,SWZ,2016,0.586
Sweden,SWE,2016,0.932
Switzerland,CHE,2016,0.943
Syria,SYR,2016,0.536
Tajikistan,TJK,2016,0.647
Tanzania,TZA,2016,0.5329999999999999
Thailand,THA,2016,0.748
Timor,TLS,2016,0.631
Togo,TGO,2016,0.5
Tonga,TON,2016,0.7240000000000001
Trinidad and Tobago,TTO,2016,0.785
Tunisia,TUN,2016,0.732
Turkey,TUR,2016,0.787
Turkmenistan,TKM,2016,0.705
Uganda,UGA,2016,0.508
Ukraine,UKR,2016,0.746
United Arab Emirates,ARE,2016,0.862
United Kingdom,GBR,2016,0.92
United States,USA,2016,0.922
Uruguay,URY,2016,0.802
Uzbekistan,UZB,2016,0.703
Vanuatu,VUT,2016,0.6
Venezuela,VEN,2016,0.7659999999999999
Vietnam,VNM,2016,0.6890000000000001
Yemen,YEM,2016,0.462
Zambia,ZMB,2016,0.586
Zimbabwe,ZWE,2016,0.532
